Date,Total Value
2023-06-25,8.336666666666668
2023-06-27,7.5275
2023-06-28,8.670277777777777
2023-06-29,7.7625
2023-06-30,8.353055555555557
2023-07-01,7.958888888888889
2023-07-04,7.979166666666666
2023-07-05,5.633333333333333
2023-07-07,9.0
2023-07-08,6.954444444444444
2023-07-09,7.993611111111111
2023-07-10,7.904166666666667
2023-07-11,8.229444444444445
2023-07-12,8.116944444444446
2023-07-13,7.280277777777777
2023-07-14,8.200277777777778
2023-07-15,9.469166666666668
2023-07-17,8.508055555555556
2023-07-18,7.595000000000001
2023-07-19,6.960833333333333
2023-07-20,7.933888888888889
2023-07-21,6.753611111111111
2023-07-22,8.5625
2023-07-23,7.438055555555556
2023-07-24,5.9174999999999995
2023-07-25,7.759722222222223
2023-07-27,8.285555555555556
2023-07-28,7.019166666666666
2023-07-30,9.305555555555557
2023-07-31,7.126666666666667
2023-08-01,6.833888888888889
2023-08-02,7.193611111111111
2023-08-03,7.0408333333333335
2023-08-04,5.574722222222222
2023-08-05,7.809444444444445
2023-08-07,8.612222222222222
2023-08-08,8.531388888888888
2023-08-10,6.464722222222222
2023-08-11,7.496111111111111
2023-08-12,7.902777777777778
2023-08-13,9.183333333333334
2023-08-14,8.415000000000001
2023-08-15,8.053611111111113
2023-08-16,8.234722222222222
2023-08-17,7.289722222222222
2023-08-20,7.67138888888889
2023-08-21,7.526944444444444
2023-08-23,3.3330555555555557
2023-08-24,4.853888888888889
2023-08-25,0.3013888888888889
2023-08-26,14.9875
2023-08-27,6.974444444444445
2023-08-28,2.957777777777778
2023-08-29,9.430277777777777
2023-08-30,8.76388888888889
2023-08-31,8.55111111111111
2023-09-01,7.250555555555556
2023-09-02,8.057500000000001
2023-09-03,7.544166666666667
2023-09-04,8.587499999999999
2023-09-05,7.387777777777778
2023-09-06,7.842222222222222
2023-09-07,9.619722222222222
2023-09-08,4.204722222222223
2023-09-09,8.765555555555556
2023-09-10,7.831944444444445
2023-09-11,6.8822222222222225
2023-09-12,8.075000000000001
2023-09-13,6.948333333333333
2023-09-14,7.2444444444444445
2023-09-15,9.057777777777778
2023-09-16,14.831944444444444
2023-09-17,0.9116666666666666
2023-09-18,7.4825
2023-09-19,15.09361111111111
2023-09-20,1.0050000000000001
2023-09-21,7.264722222222223
2023-09-22,8.339166666666667
2023-09-23,7.628333333333333
2023-09-24,7.389444444444445
2023-09-25,7.201388888888888
2023-09-26,7.718055555555556
2023-09-27,7.800833333333333
2023-09-28,10.245
2023-09-29,7.030555555555556
2023-09-30,6.608611111111111
2023-10-01,6.891111111111112
2023-10-02,10.091111111111111
2023-10-03,8.014722222222222
2023-10-04,7.270833333333333
2023-10-05,10.534722222222221
2023-10-06,6.792777777777777
2023-10-07,7.742222222222222
2023-10-08,8.373333333333333
2023-10-09,7.975277777777778
2023-10-10,7.451666666666666
2023-10-11,7.827222222222223
2023-10-12,15.739722222222222
2023-10-13,0.9325
2023-10-14,8.159444444444444
2023-10-15,8.51
2023-10-16,6.859166666666667
2023-10-17,7.5216666666666665
2023-10-18,8.04638888888889
2023-10-19,6.4463888888888885
2023-10-20,1.0969444444444447
2023-10-21,7.653611111111111
2023-10-22,7.165
2023-10-23,8.005
2023-10-24,9.243333333333334
2023-10-25,2.716666666666667
2023-10-26,10.8775
2023-10-27,7.355555555555555
2023-10-28,9.309722222222224
