date_time,heart_zone_id,total_minutes
2023-02-20T05:08,CARDIO,2
2023-02-20T05:09,CARDIO,2
2023-02-21T18:30,FAT_BURN,1
2023-02-21T18:31,FAT_BURN,1
2023-02-21T18:32,FAT_BURN,1
2023-02-21T18:33,FAT_BURN,1
2023-02-21T18:34,FAT_BURN,1
2023-02-21T18:35,FAT_BURN,1
2023-02-21T18:36,FAT_BURN,1
2023-02-21T18:37,FAT_BURN,1
2023-02-21T18:38,FAT_BURN,1
2023-02-21T18:39,FAT_BURN,1
2023-02-21T18:40,FAT_BURN,1
2023-02-21T18:41,FAT_BURN,1
2023-02-21T18:42,FAT_BURN,1
2023-02-21T18:43,FAT_BURN,1
2023-02-21T18:44,FAT_BURN,1
2023-02-21T18:45,CARDIO,2
2023-02-21T18:46,CARDIO,2
2023-02-21T18:47,FAT_BURN,1
2023-02-21T18:49,FAT_BURN,1
2023-02-21T18:50,FAT_BURN,1
2023-02-21T18:51,FAT_BURN,1
2023-02-21T18:52,FAT_BURN,1
2023-02-21T18:53,FAT_BURN,1
2023-02-21T18:54,FAT_BURN,1
2023-02-21T18:55,FAT_BURN,1
2023-02-21T18:56,FAT_BURN,1
2023-02-21T18:57,FAT_BURN,1
2023-02-21T18:58,FAT_BURN,1
2023-02-21T18:59,FAT_BURN,1
2023-02-21T19:00,FAT_BURN,1
2023-02-21T19:01,FAT_BURN,1
2023-02-21T19:02,FAT_BURN,1
2023-02-21T19:03,FAT_BURN,1
2023-02-21T19:04,CARDIO,2
2023-02-21T19:05,CARDIO,2
2023-02-21T19:06,CARDIO,2
2023-02-21T19:07,FAT_BURN,1
2023-02-21T19:08,FAT_BURN,1
2023-02-21T19:09,FAT_BURN,1
2023-02-21T19:10,FAT_BURN,1
2023-02-21T19:13,FAT_BURN,1
2023-02-21T19:16,FAT_BURN,1
2023-02-21T19:20,FAT_BURN,1
2023-02-21T19:21,FAT_BURN,1
2023-02-21T19:22,FAT_BURN,1
2023-02-21T19:23,CARDIO,2
2023-02-21T19:24,CARDIO,2
2023-02-21T19:25,CARDIO,2
2023-02-21T19:26,CARDIO,2
2023-02-21T19:27,CARDIO,2
2023-02-21T19:28,FAT_BURN,1
2023-02-21T19:29,FAT_BURN,1
2023-02-21T19:37,FAT_BURN,1
2023-02-21T19:48,FAT_BURN,1
2023-02-21T19:49,FAT_BURN,1
2023-02-21T19:51,FAT_BURN,1
2023-02-21T19:54,FAT_BURN,1
2023-02-21T19:55,FAT_BURN,1
2023-02-21T19:56,FAT_BURN,1
2023-02-22T16:26,FAT_BURN,1
2023-02-22T16:28,FAT_BURN,1
2023-02-22T16:29,FAT_BURN,1
2023-02-22T16:32,FAT_BURN,1
2023-02-22T16:33,FAT_BURN,1
2023-02-22T16:34,FAT_BURN,1
2023-02-22T16:35,FAT_BURN,1
2023-02-22T16:36,FAT_BURN,1
2023-02-22T16:37,FAT_BURN,1
2023-02-22T16:38,FAT_BURN,1
2023-02-22T16:41,FAT_BURN,1
2023-02-22T16:42,CARDIO,2
2023-02-22T16:43,CARDIO,2
2023-02-22T16:44,CARDIO,2
2023-02-22T16:45,CARDIO,2
2023-02-22T16:46,CARDIO,2
2023-02-22T16:47,CARDIO,2
2023-02-22T16:48,FAT_BURN,1
2023-02-22T16:49,FAT_BURN,1
2023-02-22T16:50,FAT_BURN,1
2023-02-22T16:51,FAT_BURN,1
2023-02-22T16:52,FAT_BURN,1
2023-02-22T16:53,FAT_BURN,1
2023-02-22T16:54,FAT_BURN,1
2023-02-22T16:55,FAT_BURN,1
2023-02-22T16:56,FAT_BURN,1
2023-02-22T16:57,FAT_BURN,1
2023-02-22T16:58,FAT_BURN,1
2023-02-22T16:59,FAT_BURN,1
2023-02-22T17:01,FAT_BURN,1
2023-02-22T17:02,FAT_BURN,1
2023-02-22T17:03,FAT_BURN,1
2023-02-22T17:04,FAT_BURN,1
2023-02-22T17:05,FAT_BURN,1
2023-02-22T17:06,CARDIO,2
2023-02-22T17:07,FAT_BURN,1
2023-02-22T17:08,FAT_BURN,1
2023-02-22T17:09,FAT_BURN,1
2023-02-22T17:10,FAT_BURN,1
2023-02-22T17:11,FAT_BURN,1
2023-02-22T17:12,FAT_BURN,1
2023-02-22T17:13,FAT_BURN,1
2023-02-22T17:14,CARDIO,2
2023-02-22T17:15,CARDIO,2
2023-02-22T17:16,CARDIO,2
2023-02-22T17:17,CARDIO,2
2023-02-22T17:18,FAT_BURN,1
2023-02-22T17:19,FAT_BURN,1
2023-02-22T17:20,FAT_BURN,1
2023-02-22T17:21,FAT_BURN,1
2023-02-22T17:22,FAT_BURN,1
2023-02-22T17:23,FAT_BURN,1
2023-02-22T17:29,FAT_BURN,1
2023-02-22T17:30,FAT_BURN,1
2023-02-22T17:31,FAT_BURN,1
2023-02-22T17:32,FAT_BURN,1
2023-02-22T17:33,FAT_BURN,1
2023-02-22T17:34,FAT_BURN,1
2023-02-22T17:35,FAT_BURN,1
2023-02-22T17:36,FAT_BURN,1
2023-02-22T17:39,FAT_BURN,1
2023-02-22T17:40,FAT_BURN,1
2023-02-22T17:41,FAT_BURN,1
2023-02-22T17:42,FAT_BURN,1
2023-02-22T17:43,FAT_BURN,1
2023-02-24T19:42,FAT_BURN,1
2023-02-24T19:43,FAT_BURN,1
2023-02-24T19:44,FAT_BURN,1
2023-02-24T19:46,FAT_BURN,1
2023-02-25T18:21,FAT_BURN,1
2023-02-25T18:22,FAT_BURN,1
2023-02-25T18:23,FAT_BURN,1
2023-02-25T18:24,FAT_BURN,1
2023-02-25T18:25,FAT_BURN,1
2023-02-25T18:26,FAT_BURN,1
2023-02-25T18:27,FAT_BURN,1
2023-02-25T18:28,FAT_BURN,1
2023-02-25T18:29,FAT_BURN,1
2023-02-25T18:30,FAT_BURN,1
2023-02-25T18:31,FAT_BURN,1
2023-02-25T18:32,FAT_BURN,1
2023-02-25T18:33,FAT_BURN,1
2023-02-25T18:34,FAT_BURN,1
2023-02-25T18:35,FAT_BURN,1
2023-02-25T18:36,FAT_BURN,1
2023-02-25T18:37,FAT_BURN,1
2023-02-25T18:38,CARDIO,2
2023-02-25T18:39,CARDIO,2
2023-02-25T18:40,FAT_BURN,1
2023-02-25T18:41,CARDIO,2
2023-02-25T18:42,FAT_BURN,1
2023-02-25T18:43,FAT_BURN,1
2023-02-25T18:44,FAT_BURN,1
2023-02-25T18:45,FAT_BURN,1
2023-02-25T18:46,FAT_BURN,1
